Time,No,Text
201306,54830,"[C]Klopfendes Geräusch bei Fahrbahnunebenheiten
[R]Stabistange ern.
[T]Stabistange vo. li.  Gelenk ausgeschlagen
[C]Klopfendes Geräusch bei Fahrbahnunebenheiten
[R]Stabistange ern.
[T]Stabistange vo. li.  Gelenk ausgeschlagen
"
201305,54830,"[C]Knackgeräusche von vorn
[R]Stabistrebe vorn links erneuert
[T]Stabistrebe vorn links ausgeschlagen, vermutlich Materialfehler
[C]Knackgeräusche von vorn
[R]Stabistrebe vorn links erneuert
[T]Stabistrebe vorn links ausgeschlagen, vermutlich Materialfehler
"
201302,55300,"[C]Stoßdämpfer hinten rechts undicht
[R]Stoßdämpfer hinten rechts ersetzt
[T]Stoßdämpfer hinten rechts undicht, fehlerhafte Abdichtung
[L]N.Büker
[C]Stoßdämpfer hinten rechts undicht
[R]Stoßdämpfer hinten rechts ersetzt
[T]Stoßdämpfer hinten rechts undicht, fehlerhafte Abdichtung
[L]N.Büker
"
201308,54840,"[C]Bei Reparaturarbeiten festgestellt: Koppelstangen Vorderachse ausgeschlagen
[R]Koppelstangen Vorderachse ausgetauscht.
[T]Bei Reparaturarbeiten festgestellt: Koppelstangen Vorderachse ausgeschlagen
[C]Bei Reparaturarbeiten festgestellt: Koppelstangen Vorderachse ausgeschlagen
[R]Koppelstangen Vorderachse ausgetauscht.
[T]Bei Reparaturarbeiten festgestellt: Koppelstangen Vorderachse ausgeschlagen
"
201303,54840,"[C]Geräusche während der Fahrt.
[R]Koppelstangen ausgetauscht.
[T]Koppelstangen ausgeschlagen.
[C]Geräusche während der Fahrt.
[R]Koppelstangen ausgetauscht.
[T]Koppelstangen ausgeschlagen.
"
201301,54830,"[C]Tüv-Mängel:
Koppelstange vorne links Lagerung ausgeschlagen
[R]Koppelstange vorne links erneuert
[T]Koppelstange vorne links Lagerung ausgeschlagen
[C]Tüv-Mängel:
Koppelstange vorne links Lagerung ausgeschlagen
[R]Koppelstange vorne links erneuert
[T]Koppelstange vorne links Lagerung ausgeschlagen
"
201304,54830,"[C]Fahrzeug macht Geräusche
[R]Stabi vorn links erneuert
[T]Stabipendel vorn links klappert
[C]Fahrzeug macht Geräusche
[R]Stabi vorn links erneuert
[T]Stabipendel vorn links klappert
"
201305,54840,"[C]Vorderachse macht Klappergeräusche
[R]Stabigelenk vorn rechts gewechselt
[T]Vorderachse macht Klappergeräusche, Stabigelenk vorn rechts erhöhtes Spiel
[C]Vorderachse macht Klappergeräusche
[R]Stabigelenk vorn rechts gewechselt
[T]Vorderachse macht Klappergeräusche, Stabigelenk vorn rechts erhöhtes Spiel
"
201304,54840,"[C]kLAPPERGERÄUSCHE
[R]Lenker erneuert
[T]Lenker ausgeschlagen
[C]kLAPPERGERÄUSCHE
[R]Lenker erneuert
[T]Lenker ausgeschlagen
"
201302,54830,"[C]bei unebenen Straßenverhältnissen polterndes Geräusch vorn
[R]Pendelstütze erneuert
[T]Pendelstütze VL ausgeschlagen
[C]bei unebenen Straßenverhältnissen polterndes Geräusch vorn
[R]Pendelstütze erneuert
[T]Pendelstütze VL ausgeschlagen
"
201303,54840,"[C]Klackern vorne links prüfen
[R]Koppelstange vorne links erneuern
[T]Koppelstange vorne links ausgeschlagen
[C]Klackern vorne links prüfen
[R]Koppelstange vorne links erneuern
[T]Koppelstange vorne links ausgeschlagen
"
201305,54830,"[C]Bei Bodenunebenheiten Poltergeräusche vorne
[R]Koppelstange v.l. ersetzt
[T]Koppelstange v.l. ausgeschlagen
[L]Ru
[C]Bei Bodenunebenheiten Poltergeräusche vorne
[R]Koppelstange v.l. ersetzt
[T]Koppelstange v.l. ausgeschlagen
[L]Ru
"
201305,54840,"[C]Im Rahmen der Inspektion festgestellt, Stabilisatorgelenke vorne rechts und links ausgeschlagen
[R]Stabigelenke erneuert
[T]Stabilisatorgelenke ausgeschlagen
[C]Im Rahmen der Inspektion festgestellt, Stabilisatorgelenke vorne rechts und links ausgeschlagen
[R]Stabigelenke erneuert
[T]Stabilisatorgelenke ausgeschlagen
"
201302,54830,"[C]Im Rahmen der Inspektion festgestellt, Stabigelenke vorne rechts und links ausgeschlagen
[R]Stabigelenke erneuert
[T]Stabigelenke ausgeschlagen
[C]Im Rahmen der Inspektion festgestellt, Stabigelenke vorne rechts und links ausgeschlagen
[R]Stabigelenke erneuert
[T]Stabigelenke ausgeschlagen
"
201304,54840,"[C]Im Rahmen der Jahresinspektion festgestellt, Stabilisatorgelenk vorne rechts ausgeschlagen
[R]Stabilisatorgelenk erneuert
[T]Stabilisatorgelenk ausgeschlagen
[C]Im Rahmen der Jahresinspektion festgestellt, Stabilisatorgelenk vorne rechts ausgeschlagen
[R]Stabilisatorgelenk erneuert
[T]Stabilisatorgelenk ausgeschlagen
"
201304,54830,"[C]Klappergeräusch bei Unebenheiten
[R]Austausch Koppelstange vorn links
[T]Koppelstange vorn links Spiel im Gelenk
[C]Klappergeräusch bei Unebenheiten
[R]Austausch Koppelstange vorn links
[T]Koppelstange vorn links Spiel im Gelenk
"
201302,55300,"[C]TÜV Mangel Stoßdämpfer der HA undicht &#40;beide&#41;
[R]Stoßdämpfer der HA erneuert &#40;beide&#41;
[T]Stoßdämpfer hinten undicht &#40;beide&#41;
[C]TÜV Mangel Stoßdämpfer der HA undicht &#40;beide&#41;
[R]Stoßdämpfer der HA erneuert &#40;beide&#41;
[T]Stoßdämpfer hinten undicht &#40;beide&#41;
"
201303,54840,"[C]poltern von der HA bei leichten Unebenheiten
[R]Koppelstangen rechts + links VA erneuert
[T]Koppelstange VA rechts + links ausgeschlagen
[C]poltern von der HA bei leichten Unebenheiten
[R]Koppelstangen rechts + links VA erneuert
[T]Koppelstange VA rechts + links ausgeschlagen
"
201301,54830,"[C]Klappergeräusche bei unebener Straße von der Vorderachse
[R]Stabilisatorgestänge vorne links ern
[T]Stabilisatorgestänge vorne links ausgeschlagen
[C]Klappergeräusche bei unebener Straße von der Vorderachse
[R]Stabilisatorgestänge vorne links ern
[T]Stabilisatorgestänge vorne links ausgeschlagen
"
201302,54840,"[C]Geräusche von vorne rechts
[R]Stabilisator erneuert
[T]Stabilisator vorne rechts ausgeschlagen defekt
[C]Geräusche von vorne rechts
[R]Stabilisator erneuert
[T]Stabilisator vorne rechts ausgeschlagen defekt
"
201307,54830,"[C]Klappergeräusche von vorne
[R]Stabilisator erneuert
[T]Stabilisator vorne links ausgeschlagen
[C]Klappergeräusche von vorne
[R]Stabilisator erneuert
[T]Stabilisator vorne links ausgeschlagen
"
201301,54830,"[C]Geräusche vorne links
[R]Stabi erneuert
[T]Stabi vorne links ausgeschlagen defekt
[C]Geräusche vorne links
[R]Stabi erneuert
[T]Stabi vorne links ausgeschlagen defekt
"
201302,54840,"[C]Geräusch beim fahren
[R]Lenker muss erneuert werden
[T]Lenker vorne defekt
[C]Geräusch beim fahren
[R]Lenker muss erneuert werden
[T]Lenker vorne defekt
"
201304,55300,"[C]Fahrwerk klappert.
[R]Stoßdämpfer erneuert.
[T]Stoßdämpfer HL hat starken Ölverlust.
[C]Fahrwerk klappert.
[R]Stoßdämpfer erneuert.
[T]Stoßdämpfer HL hat starken Ölverlust.
"
201306,55300,"[C]Zur Wartung festgestellten Mangel beseitigen.
[R]Stoßdämpfer erneuern.
[T]Stoßdämpfer HL ist undicht.
[C]Zur Wartung festgestellten Mangel beseitigen.
[R]Stoßdämpfer erneuern.
[T]Stoßdämpfer HL ist undicht.
"
201301,54830,"[C]Klopfgeräusche vorne
[R]Koppelstangen erneuern
[T]Koppelstangen haben Spiel
[C]Klopfgeräusche vorne
[R]Koppelstangen erneuern
[T]Koppelstangen haben Spiel
"
201301,54840,"[C]FAHRZEUG MACHT GERÄUSCHE VORNE
[R]KOPPELSTANGEN ERNEUERN
[T]KOPPELSTANGEN VORNE SIND AUSGESCHLAGEN UND HABEN GROSSES SPIEL
[C]FAHRZEUG MACHT GERÄUSCHE VORNE
[R]KOPPELSTANGEN ERNEUERN
[T]KOPPELSTANGEN VORNE SIND AUSGESCHLAGEN UND HABEN GROSSES SPIEL
"
201301,54830,"[C]FAHRZEUG HAT KLAPPERRGERAUESCHE VORNE
[R]KOPPELSTANGEN ERNEUERN
[T]KOPPELSTANGEN HABEN SPIEL
[C]FAHRZEUG HAT KLAPPERRGERAUESCHE VORNE
[R]KOPPELSTANGEN ERNEUERN
[T]KOPPELSTANGEN HABEN SPIEL
"
201302,54840,"[C]Klappergeräusch vom Unterboden.
[R]Koppelstange erneuert.
[T]Koppelstange vorne rechts ausgeschlagen.
[L]1234
[C]Klappergeräusch vom Unterboden.
[R]Koppelstange erneuert.
[T]Koppelstange vorne rechts ausgeschlagen.
[L]1234
"
201302,54830,"[C]Klappern auf schlechter Straße
[R]ern.
[T]Stabi VL und VR ist ausgeschlagen
[C]Klappern auf schlechter Straße
[R]ern.
[T]Stabi VL und VR ist ausgeschlagen
"
201301,54830,"[C]Fzg. klappert auf schlechter Straße
[R]ern.
[T]Stabi VL und VR ist ausgeschlagen.
[C]Fzg. klappert auf schlechter Straße
[R]ern.
[T]Stabi VL und VR ist ausgeschlagen.
"
201301,54830,"[C]Geräusch auf schlechter Straße
[R]ern.
[T]Stabi VL und VR ist ausgeschlagen
[C]Geräusch auf schlechter Straße
[R]ern.
[T]Stabi VL und VR ist ausgeschlagen
"
201305,54840,"[C]Klappern auf schlechter Strasse
[R]ern.
[T]Stabi VR ausgeschlagen
[C]Klappern auf schlechter Strasse
[R]ern.
[T]Stabi VR ausgeschlagen
"
201304,54830,"[C]Geräusche Vorderachse links
[R]Koppelstange vorn links erneuert
[T]Koppelstange vorn links hat Spiel
[C]Geräusche Vorderachse links
[R]Koppelstange vorn links erneuert
[T]Koppelstange vorn links hat Spiel
"
201301,54830,"[C]Poltern von VA
[R]Stabi Stütze VL ern
[T]Stabi Stütze VL ausgeschlagen
[L]1242
[C]Poltern von VA
[R]Stabi Stütze VL ern
[T]Stabi Stütze VL ausgeschlagen
[L]1242
"
201304,54830,"[C]Geräusche Vorderachse prüfen
[R]Pendelstütze vorne links erneuert
[T]Geräusche bei unebener Fahrbahn Pendelstütze vl. ausgeschlagen
[C]Geräusche Vorderachse prüfen
[R]Pendelstütze vorne links erneuert
[T]Geräusche bei unebener Fahrbahn Pendelstütze vl. ausgeschlagen
"
201305,54840,"[C]Geräusch VR bei unebener Fahrbahn
[R]Stabigelenk VR erneuert
[T]Stabigelenk VR spiel
[C]Geräusch VR bei unebener Fahrbahn
[R]Stabigelenk VR erneuert
[T]Stabigelenk VR spiel
"
201304,54830,"[C]Fahrzeug klappert bei Fahrten durch Schlaglöcher
[R]Stabipendel links und rechts erneuert
[T]Stabipendel links und rechts ausgeschlagen
[C]Fahrzeug klappert bei Fahrten durch Schlaglöcher
[R]Stabipendel links und rechts erneuert
[T]Stabipendel links und rechts ausgeschlagen
"
201305,55300,"[C]Stoßdämpfer an der HA undicht
[R]Stoßdämpfer an der HA erneuert
[T]Stoßdämpfer an der HA undicht
"
201303,55300,"[C]Geräusch beim Federn
[R]Dämpfer erneuern
[T]Stossdämpfer hinten undicht
[C]Geräusch beim Federn
[R]Dämpfer erneuern
[T]Stossdämpfer hinten undicht
"
201303,54840,"[C]Bei der Wartung am 01.07.2016 wurde festgestellt, dass beide Koppelstangen vorne Spiel haben
[R]Koppelstangen erneuern
[T]Kugelköpfe an beiden Koppelstangen haben Spiel
[C]Bei der Wartung am 01.07.2016 wurde festgestellt, dass beide Koppelstangen vorne Spiel haben
[R]Koppelstangen erneuern
[T]Kugelköpfe an beiden Koppelstangen haben Spiel
"
201302,54840,"[C]Fahrzeug macht während der Fahrt komische Geräusche
[R]Koppelstangen vorne erneuern
[T]Koppelstangen vorne defekt
[L]1299
[C]Fahrzeug macht während der Fahrt komische Geräusche
[R]Koppelstangen vorne erneuern
[T]Koppelstangen vorne defekt
[L]1299
"
201303,55300,"[C]Fahrzeug macht auf schlechter Fahrbahn Geräusche
[R]Stoßdämpfer HL. erneuert
[T]Stoßdämpfer HA. links undicht / Geräusche
[C]Fahrzeug macht auf schlechter Fahrbahn Geräusche
[R]Stoßdämpfer HL. erneuert
[T]Stoßdämpfer HA. links undicht / Geräusche
"
201301,55300,"[C]Geräusche von HR.
[R]Stoßdämpfer erneuert
[T]Stoßdämpfer HR. undicht
[C]Geräusche von HR.
[R]Stoßdämpfer erneuert
[T]Stoßdämpfer HR. undicht
"
201302,54840,"[C]Klappergeräusche vorne bei Unebenheiten
[R]Koppelstangen vorne erneuern
[T]Gelenke Koppelstangen links und rechts ausgeschlagen
[C]Klappergeräusche vorne bei Unebenheiten
[R]Koppelstangen vorne erneuern
[T]Gelenke Koppelstangen links und rechts ausgeschlagen
"
201307,54840,"[C]KLAPPERGERÄUSCHE IN DER VORDERACHSE
[R]STABIVERBINDER VR ERSETZT
[T]DER RECHTE STABIVERBINDER IST DEFEKT-AUSGESCHLAGEN-ERSETZEN
"
201301,54830,"[C]FOLGEAUFTRAG ZUM AUFTRAG 60477:
BEI DER INSPEKTION WURDE FESTGESTELLT, DAS DIE KOPPELSTANGE VORNE LINKS AUSGESCHLAGEN IST
[R]KOPPELSTANGE ERSETZT
[T]KOPPELSTANGE AUSGESCHLAGEN
[L]1385

[C]FOLGEAUFTRAG ZUM AUFTRAG 60477:
BEI DER INSPEKTION WURDE FESTGESTELLT, DAS DIE KOPPELSTANGE VORNE LINKS AUSGESCHLAGEN IST
[R]KOPPELSTANGE ERSETZT
[T]KOPPELSTANGE AUSGESCHLAGEN
[L]1385

"
201303,54840,"[C]BEI DER TÜV ABNAHME WURDE FESTGESTELLT:
KOPPELSTANGE VORNE RECHTS HAT SPIEL
[R]KOPPELSTANGE ERSETZT
[T]KOPPELSTANGE HAT SPIEL
[L]1385
[C]BEI DER TÜV ABNAHME WURDE FESTGESTELLT:
KOPPELSTANGE VORNE RECHTS HAT SPIEL
[R]KOPPELSTANGE ERSETZT
[T]KOPPELSTANGE HAT SPIEL
[L]1385
"
201306,54830,"[C]IM RAHMEN DER WARTUNG WURDE FESTGESTELLT:
KOPPELSTANGE VORNE LINKS HAT SPIEL
[R]KOPPELSTANGE ERSETZT
[T]KOPPELSTANGE VORNE LINKS AUSGESCHLAGEN
[L]1385
[C]IM RAHMEN DER WARTUNG WURDE FESTGESTELLT:
KOPPELSTANGE VORNE LINKS HAT SPIEL
[R]KOPPELSTANGE ERSETZT
[T]KOPPELSTANGE VORNE LINKS AUSGESCHLAGEN
[L]1385
"
201303,54840,"[C]abnormales Poltern auf unebener Straße
[R]Stabipendel erneuert
[T]Stabipendel vorn rechts ausgeschlagen
[C]abnormales Poltern auf unebener Straße
[R]Stabipendel erneuert
[T]Stabipendel vorn rechts ausgeschlagen
"
201302,55300,"[C]Stoßdämpfer hinten rechts undicht
[R]Stoßdämpfer hinten rechts muss erneuert werden
[T]bei Inspektion festgestellt
[L]1400
"
201303,54830,"[C]Poltergeräusch bei unebener Fahrbahn
[R]Koppelstangen vorn beide Seiten erneuert
[T]Koppelstangen vorn beide Seiten ausgeschlagen
[C]Poltergeräusch bei unebener Fahrbahn
[R]Koppelstangen vorn beide Seiten erneuert
[T]Koppelstangen vorn beide Seiten ausgeschlagen
"
201306,54830,"[C]Klappergeräusche vorn !!!
[R]Stabigelenke vorn rechts und links erneuert&#59;
[T]Klappergeräusche vorn !!!
[C]Klappergeräusche vorn !!!
[R]Stabigelenke vorn rechts und links erneuert&#59;
[T]Klappergeräusche vorn !!!
"
201307,54840,"[C]Fz. macht Geräusche
[R]Koppelstange erneuert
[T]Koppelstange vorne rechts ausgeschlagen
[C]Fz. macht Geräusche
[R]Koppelstange erneuert
[T]Koppelstange vorne rechts ausgeschlagen
"
201301,54830,"[C]Poltergeräusche am Fz, vorne
[R]Koppelstange vorne links erneuert
[T]Koppelstange vorne links ausgeschlagen
"
201306,54830,"[C]Vorderachse abnormale Geräusche auf unebener Fahrbahn
[R]Koppelstange l+r erneuern
[T]Koppelstange vorn l+r ausgeschlagen
[C]Vorderachse abnormale Geräusche auf unebener Fahrbahn
[R]Koppelstange l+r erneuern
[T]Koppelstange vorn l+r ausgeschlagen
"
201306,54830,"[C]Klappergeräusche aus dem Vorderwagenbereich bei Fahrbahnunebenheiten
[R]Koppelstangen ers
[T]Koppelstangen vorn ers
[L]1523
[C]Klappergeräusche aus dem Vorderwagenbereich bei Fahrbahnunebenheiten
[R]Koppelstangen ers
[T]Koppelstangen vorn ers
[L]1523
"
201301,54830,"[C]Man hört ein klapperndes Geräusch vorn beim Überfahren von Bodenwellen
[R]Koppelstange VL ers
[T]Koppelstange VL ausgeschlagen / Spiel
[L]1523
[C]Man hört ein klapperndes Geräusch vorn beim Überfahren von Bodenwellen
[R]Koppelstange VL ers
[T]Koppelstange VL ausgeschlagen / Spiel
[L]1523
"
201308,54840,"[C]Klapperndes Geräusch hinten bitten prüfen und beheben.
[R]Koppelstangen erneuert.
[T]Koppelstangen vorne rechts und links ausgeschlagen.
[C]Klapperndes Geräusch hinten bitten prüfen und beheben.
[R]Koppelstangen erneuert.
[T]Koppelstangen vorne rechts und links ausgeschlagen.
"
201308,54840,"[C]Koppelstange rechts und links ausgeschlagen (bei Wartung festgestellt).
[R]Koppelstangen erneuert.
[T]Koppelstangen vorne rechts und links ausgeschlagen.
[C]Koppelstange rechts und links ausgeschlagen (bei Wartung festgestellt).
[R]Koppelstangen erneuert.
[T]Koppelstangen vorne rechts und links ausgeschlagen.
"
201301,54830,"[C]Klappergeräusche von vorn
[R]Koppelstange ersetzt
[T]Stabi v l Spiel
[C]Klappergeräusche von vorn
[R]Koppelstange ersetzt
[T]Stabi v l Spiel
"
201304,54830,"[C]Geräusche beim überfahren von Unebenheiten
[R]Koppelstange vorne links erneuern
[T]Koppelstange vorne  links defekt
[L]1577
[C]Geräusche beim überfahren von Unebenheiten
[R]Koppelstange vorne links erneuern
[T]Koppelstange vorne  links defekt
[L]1577
"
201303,54830,"[C]Geräusche beim Überfahren von Unebenheiten
[R]Koppelstange erneuern
[T]Koppelstange vorne links ausgeschlagen
[L]1577
[C]Geräusche beim Überfahren von Unebenheiten
[R]Koppelstange erneuern
[T]Koppelstange vorne links ausgeschlagen
[L]1577
"
201303,54840,"[C]Fahrzeug klappert
[R]Koppelstange ern.
[T]Koppelstange ausgeschlagen
[C]Fahrzeug klappert
[R]Koppelstange ern.
[T]Koppelstange ausgeschlagen
"
201306,54830,"[C]Klappergeräusche auf Kopfsteinpflaster
[R]Koppelstange vorne links erneuert
[T]Koppelstange vorne links ausgeschlagen
[C]Klappergeräusche auf Kopfsteinpflaster
[R]Koppelstange vorne links erneuert
[T]Koppelstange vorne links ausgeschlagen
"
201308,54830,"[C]Klappergeräusch vorne
[R]Stabi vorne links erneuert
[T]Stabi vorne links ausgeschlagen
[C]Klappergeräusch vorne
[R]Stabi vorne links erneuert
[T]Stabi vorne links ausgeschlagen
"
201307,54830,"[C]Poltergeräusche vorne
[R]Stabistange v.l. ern.
[T]Stabistange v.l. ausgeschlagen
[C]Poltergeräusche vorne
[R]Stabistange v.l. ern.
[T]Stabistange v.l. ausgeschlagen
"
201303,54840,"[C]Fahrzeug poltert stark auf unebener Fahrbahn
[R]Die Koppelstangen auf beiden Seiten müssen erneuert werden
[T]Die Koppelstangen auf beiden Seiten haben erhöhtes Spiel
[L]Die Koppelstangen auf beiden Seiten müssen erneuert werden
[C]Fahrzeug poltert stark auf unebener Fahrbahn
[R]Die Koppelstangen auf beiden Seiten müssen erneuert werden
[T]Die Koppelstangen auf beiden Seiten haben erhöhtes Spiel
[L]Die Koppelstangen auf beiden Seiten müssen erneuert werden
"
201303,54840,"[C]Poltern vorn rechts
[T]Stabilisatorstütze vorn rechts mit Spiel
[C]Poltern vorn rechts
[T]Stabilisatorstütze vorn rechts mit Spiel
"
201306,54840,"[C]Poltern vom Unterboden prüfen.
[R]Stabilisatorstrebe vorn rechts ausgeschlagen.
[T]Stabilisatorstrebe vorn rechts defekt !
[C]Poltern vom Unterboden prüfen.
[R]Stabilisatorstrebe vorn rechts ausgeschlagen.
[T]Stabilisatorstrebe vorn rechts defekt !
"
201301,55300,"[C]Beide Stoßdämpfer hinten undicht
[R]Beide Dämpfer erneuert
[T]Dämpfer hinten undicht und klappern
[C]Beide Stoßdämpfer hinten undicht
[R]Beide Dämpfer erneuert
[T]Dämpfer hinten undicht und klappern
"
201303,54830,"[C]Klappergeräusch an der Vorderachse auf unebener Fahrbahn
[R]Die Koppelstange vorne links wurde ausgetauscht
[T]Vorne links ist die Koppelstang ausgeschlagen
[L]1629
[C]Klappergeräusch an der Vorderachse auf unebener Fahrbahn
[R]Die Koppelstange vorne links wurde ausgetauscht
[T]Vorne links ist die Koppelstang ausgeschlagen
[L]1629
"
201301,54830,"[C]Geräusche bei Unebenheiten
[R]Koppelstange erneuert
[T]Koppelstange li defekt
[C]Geräusche bei Unebenheiten
[R]Koppelstange erneuert
[T]Koppelstange li defekt
"
201305,54830,"[C]Klopfgeräusche von vorne bei unebener Fahrbahn
[R]Koppelstangen links und rechts erneuert
[T]Koppelstangen links/rechts defekt ausgeschlagen Spiel
[C]Klopfgeräusche von vorne bei unebener Fahrbahn
[R]Koppelstangen links und rechts erneuert
[T]Koppelstangen links/rechts defekt ausgeschlagen Spiel
"
201307,54830,"[C]Klopfgeräusche vorne
[R]Koppelstangen links + rechts vorne erneuert
[T]Koppelstangen vorne L+R erneuern, ausgeschlagen
[C]Klopfgeräusche vorne
[R]Koppelstangen links + rechts vorne erneuert
[T]Koppelstangen vorne L+R erneuern, ausgeschlagen
"
201301,54840,"[C]Klopfgeräusch vorne
[R]Koppelstange vorne rechts ausgebaut und erneuert
[T]Klopfgeräusch von Koppelstange vorne rechts, ausgeschlagen
"
201303,54840,"[C]Bei TÜV Abnahme festgestellt: Koppelstange vorne rechts ausgeschlagen.

[R]Koppelstange vorne rechts erneuert.
[T]Koppelstange vorne rechts ausgeschlagen.
[C]Bei TÜV Abnahme festgestellt: Koppelstange vorne rechts ausgeschlagen.

[R]Koppelstange vorne rechts erneuert.
[T]Koppelstange vorne rechts ausgeschlagen.
"
201304,54830,"[C]Bei Kundendienstarbeiten festgestellt: 
Koppelstange vorne links ausgeschlagen
[R]Koppelstange vorne links erneuert.
[T]Koppelstange vorne links ausgeschlagen
[C]Bei Kundendienstarbeiten festgestellt: 
Koppelstange vorne links ausgeschlagen
[R]Koppelstange vorne links erneuert.
[T]Koppelstange vorne links ausgeschlagen
"
